body_temperature,blood_oxygen ,heart_rate ,Stress_Levels
90.168,88.168,66.84,1
94.224,92.116,55.56,0
90.728,89.728,71.64,1
90.464,88.464,67.12,1
90.256,88.256,66.28,1
95.212,91.848,58.08,0
90.64,88.64,68.2,1
95.702,94.568,59.28,0
94.184,92.576,55.96,0
90.264,89.264,70.12,1
90.248,89.248,70.24,1
90.904,89.904,74.52,1
90.448,88.448,67.24,1
90.984,90.144,74.92,1
90.144,91.168,57.28,0
90.102,89.102,70.56,1
90.2,89.2,70,1
90.004,89.004,70.52,1
95.904,94.856,59.76,0
94.624,92.916,56.56,0
90.848,88.848,69.24,1
90.568,89.568,72.84,1
90.456,89.456,72.28,1
90.672,88.672,68.16,1
95.084,91.776,57.96,0
95.16,94.04,58.4,0
92,90,75,1
90.96,88.96,69.8,1
90.116,88.116,66.68,1
90.488,89.488,72.44,1
90.28,89.28,70.4,1
95.52,94.28,58.8,0
94.208,92.102,55.52,0
12.85,88.624,68.02,1
94.044,92.206,55.16,0
90.206,89.206,70.08,1
90.606,89.606,71.08,1
95.888,94.812,59.72,0
90.648,89.648,71.24,1
90.144,88.096,65.48,1
90.688,88.688,68.44,1
90.076,88.076,65.88,1
94.4,92.6,56,0
90.864,54.1,69.12,1
95.792,94.688,59.48,0
90.612,89.612,71.06,1
90.856,89.856,74.28,1
90.16,89.16,70.8,1
94.08,92.02,55.2,0
95.248,91.872,58.02,0
95.024,91.516,57.56,0
90.576,88.576,67.88,1
94.608,92.902,56.52,0
95.424,94.016,58.56,0
90.656,88.656,68.28,1
95.008,91.502,57.52,0
95.584,94.176,58.96,0
94.06,92.24,55.4,0
94.168,92.552,55.92,0
90.502,88.502,67.56,1
90.902,88.902,69.56,1
90.72,88.72,68.6,1
90.048,88.048,65.24,1
90.752,88.752,68.76,1
90.56,88.56,67.8,1
95.28,91.92,29.16,0
90.412,88.412,67.06,1
90.424,89.424,72.02,1
94.448,92.672,56.02,0
94.012,92.048,55.08,0
95.824,94.716,59.56,0
90.24,88.24,66.2,1
94.412,92.648,56.08,0
95.2,91.8,58,0
95.744,94.606,59.16,0
90.544,88.544,67.72,1
90.088,89.088,70.44,1
94.576,92.864,56.44,0
94.806,91.224,57.04,0
95.472,94.208,58.68,0
94.24,92.16,55.6,0
90.12,88.12,66.6,1
95.968,90.144,59.92,0
90.056,89.056,70.28,1
94.496,92.744,56.24,0
90.976,88.976,69.88,1
90.144,91.612,57.72,0
94.592,92.888,56.48,0
94.848,91.272,57.02,0
94.752,91.028,56.88,0
95.504,94.256,58.76,0
94.104,92.456,55.76,0
90.504,89.504,72.52,1
90.806,88.806,90.144,1
95.264,91.896,58.06,0
90.888,89.888,74.44,1
94.152,92.528,55.88,0
90.472,89.472,72.16,1
94.96,91.44,57.4,0
94.256,92.184,55.64,0
90.68,89.68,71.4,1
94.544,92.806,56.16,0
90.288,88.288,66.44,1
95.84,94.76,59.6,0
90.296,89.296,70.48,1
94.006,92.024,55.04,0
90.496,88.496,67.48,1
90.064,88.064,65.12,1
94.076,92.264,55.44,0
90.212,89.212,70.06,1
94.116,92.504,55.84,0
90.272,88.272,66.16,1
94.656,92.984,56.64,0
94.768,91.052,56.92,0
90.144,88.08,65.4,1
90.224,88.224,66.02,1
95.984,94.976,59.96,0
95.68,94.52,59.2,0
90.704,88.704,68.52,1
94.896,91.144,57.24,0
90.024,89.024,70.02,1
90.012,88.012,65.06,1
90.152,88.152,66.76,1
90.584,89.584,72.92,1
90.944,88.944,69.72,1
90.784,88.784,68.92,1
94.288,92.412,55.72,0
95.6,94.4,59,0
90.92,89.92,74.6,1
94.944,91.406,57.16,0
90.002,88.002,65.56,1
90.952,89.952,74.76,1
90.516,89.516,72.68,1
90.716,88.716,68.68,1
94.812,91.248,57.08,0
95.072,91.608,57.68,0
90.8,88.8,5.6,1
90.44,89.44,72.2,1
95.02,91.68,57.8,0
90.608,88.608,68.04,1
95.952,94.928,59.88,0
90.4,88.4,67,1
94.8,91.2,57,0
90.916,89.916,74.68,1
90.808,89.808,74.04,1
95.552,94.128,58.88,0
95.192,94.088,58.48,0
95.068,91.752,57.92,0
90.872,89.872,74.16,1
95.568,94.152,58.92,0
94.928,91.192,57.12,0
90.144,89.824,74.02,1
90.084,89.084,70.92,1
90.184,88.184,66.92,1
95.808,94.702,59.52,0
94.64,92.96,90.144,0
95.76,94.64,59.4,0
95.728,94.592,59.12,0
